seriesuid,coordX,coordY,coordZ,calcification_label
1.3.6.1.4.1.14519.5.2.1.6279.6001.253283426904813468115158375647,-87.6,27.9,-247.48,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.253283426904813468115158375647,-87.6,-8.1,-231.48,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.253283426904813468115158375647,-37.6,-58.1,-213.48,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.253283426904813468115158375647,-21.6,-8.1,-213.48,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.253283426904813468115158375647,30.4,-8.1,-163.48,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.253283426904813468115158375647,-5.6,9.9,-111.48,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.253283426904813468115158375647,12.4,7.9,-195.48,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.308183340111270052562662456038,-60.0,42.2,-228.95,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.308183340111270052562662456038,24.0,8.2,-210.95,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.308183340111270052562662456038,58.0,24.2,-210.95,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.308183340111270052562662456038,-10.0,42.2,-210.95,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.308183340111270052562662456038,-10.0,-23.8,-192.95,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.308183340111270052562662456038,-8.0,-9.8,-92.95,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.308183340111270052562662456038,-94.0,-9.8,-76.95,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.308183340111270052562662456038,8.0,-9.8,-160.95,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.334022941831199910030220864961,11.381,-147.619,861.6,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.334022941831199910030220864961,-86.619,-97.619,861.6,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.334022941831199910030220864961,-102.619,-131.619,877.6,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.334022941831199910030220864961,-20.619,-197.619,893.6,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.334022941831199910030220864961,29.381,-197.619,945.6,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.334022941831199910030220864961,-136.619,-245.619,1011.6,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.334022941831199910030220864961,-136.619,-197.619,1029.6,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.334022941831199910030220864961,-102.619,-195.619,793.6,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.334022941831199910030220864961,-2.619,-145.619,945.6,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.336102335330125765000317290445,91.2,23.0,-260.33,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.336102335330125765000317290445,-60.8,41.0,-244.33,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.336102335330125765000317290445,73.2,-59.0,-228.33,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.336102335330125765000317290445,-76.8,7.0,-228.33,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.336102335330125765000317290445,-76.8,-27.0,-226.33,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.336102335330125765000317290445,5.2,-43.0,-208.33,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.336102335330125765000317290445,7.2,-27.0,-110.33,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.336102335330125765000317290445,39.2,-27.0,-194.33,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.196251645377731223510086726530,5.4,-10.0,-191.025,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.196251645377731223510086726530,-80.6,24.0,-191.025,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.196251645377731223510086726530,-30.6,-44.0,-173.025,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.196251645377731223510086726530,-12.6,-28.0,-55.025,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.196251645377731223510086726530,-96.6,-42.0,-23.025,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.196251645377731223510086726530,-12.6,-60.0,-223.025,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.196251645377731223510086726530,3.4,-44.0,-157.025,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.119304665257760307862874140576,-81.142,176.71416,-668.8,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.119304665257760307862874140576,2.858,172.71416,-666.8,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.119304665257760307862874140576,-15.142,106.71416,-650.8,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.119304665257760307862874140576,2.858,104.71416,-582.8,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.119304665257760307862874140576,-81.142,122.71416,-482.8,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.776429308535398795601496131524,78.2,18.4,-243.145,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.776429308535398795601496131524,-73.8,34.4,-243.145,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.776429308535398795601496131524,-3.8,34.4,-243.145,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.776429308535398795601496131524,-73.8,0.4,-227.145,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.776429308535398795601496131524,-5.8,-15.6,-211.145,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.776429308535398795601496131524,-23.8,-83.6,-191.145,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.776429308535398795601496131524,28.2,-15.6,-125.145,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.776429308535398795601496131524,12.2,-67.6,-107.145,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.776429308535398795601496131524,-5.8,-15.6,-75.145,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.776429308535398795601496131524,-71.8,-83.6,-73.145,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.776429308535398795601496131524,10.2,-49.6,-243.145,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.776429308535398795601496131524,12.2,-17.6,-175.145,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.776429308535398795601496131524,-3.8,34.4,-125.145,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-67.678,-103.678,-348.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,32.322,-155.678,-314.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-101.678,-203.678,-298.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-85.678,-155.678,-298.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-83.678,-221.678,-282.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-17.678,-187.678,-280.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-17.678,-221.678,-264.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,34.322,-153.678,-230.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-101.678,-221.678,-164.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-1.678,-187.678,-164.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-101.678,-155.678,-146.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-83.678,-153.678,-382.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,-83.678,-187.678,-366.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,0.322,-221.678,-330.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,16.322,-203.678,-264.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.100225287222365663678666836860,16.322,-103.678,-214.4,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229960820686439513664996214638,-113.6,-95.2,-191.89,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229960820686439513664996214638,-79.6,40.8,-191.89,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229960820686439513664996214638,-79.6,22.8,-175.89,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229960820686439513664996214638,90.4,56.8,-175.89,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229960820686439513664996214638,-27.6,4.8,-173.89,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229960820686439513664996214638,56.4,22.8,-123.89,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229960820686439513664996214638,56.4,72.8,-107.89,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229960820686439513664996214638,22.4,-61.2,-91.89,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229960820686439513664996214638,-113.6,-45.2,-89.89,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229960820686439513664996214638,4.4,-27.2,-55.89,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.229960820686439513664996214638,6.4,-11.2,-125.89,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,-83.062,75.969,1386.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,70.938,75.969,1388.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,-99.062,41.969,1402.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,2.938,41.969,1402.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,70.938,43.969,1402.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,-49.062,-8.031,1420.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,-133.062,-76.031,1436.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,-49.062,-58.031,1438.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,-133.062,-74.031,1488.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,-49.062,7.969,1488.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,18.938,7.969,1506.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,-117.062,-76.031,1522.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,0.938,-42.031,1538.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,-133.062,-8.031,1538.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,2.938,25.969,1572.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,-101.062,-26.031,1336.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,-31.062,-42.031,1386.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,2.938,59.969,1422.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,18.938,-8.031,1438.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,-15.062,-24.031,1454.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,18.938,41.969,1470.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,2.938,43.969,1522.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.332510758903897288735539953182,2.938,25.969,1538.5,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145283812746259413053188838096,-129.6,-35.6,-195.885,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145283812746259413053188838096,-111.6,48.4,-181.885,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145283812746259413053188838096,-61.6,-19.6,-179.885,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145283812746259413053188838096,22.4,-19.6,-179.885,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145283812746259413053188838096,40.4,64.4,-179.885,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145283812746259413053188838096,-145.6,-35.6,-77.885,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145283812746259413053188838096,-43.6,-1.6,-61.885,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.145283812746259413053188838096,-25.6,-3.6,-163.885,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.191034085672515521659942406513,-99.844,59.938,1406.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.191034085672515521659942406513,34.156,-42.062,1422.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.191034085672515521659942406513,2.156,9.938,1422.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.191034085672515521659942406513,-33.844,-8.062,1440.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.191034085672515521659942406513,-13.844,-40.062,1506.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.191034085672515521659942406513,2.156,9.938,1508.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.191034085672515521659942406513,-15.844,-40.062,1406.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.191034085672515521659942406513,0.156,-22.062,1458.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.191034085672515521659942406513,-15.844,27.938,1540.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.802595762867498341201607992711,-89.4,65.4,-254.52,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.802595762867498341201607992711,-5.4,47.4,-252.52,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.802595762867498341201607992711,-37.4,-2.6,-236.52,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.802595762867498341201607992711,-105.4,15.4,-236.52,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.802595762867498341201607992711,64.6,63.4,-236.52,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.802595762867498341201607992711,-19.4,-34.6,-120.52,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.278010349511857248000260557753,84.7,80.2,-242.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.278010349511857248000260557753,-87.3,30.2,-224.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.278010349511857248000260557753,-19.3,-19.8,-192.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.278010349511857248000260557753,32.7,14.2,-138.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.278010349511857248000260557753,32.7,-17.8,-124.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.278010349511857248000260557753,16.7,-3.8,-174.75,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,80.2,40.5,-211.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,-71.8,40.5,-195.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,-21.8,-59.5,-161.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,-105.8,-43.5,-77.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,-3.8,-27.5,-61.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,12.2,-27.5,-143.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,12.2,40.5,-109.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.126704785377921920210612476953,-71.4,42.5,-238.74,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.126704785377921920210612476953,-23.4,-23.5,-220.74,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.126704785377921920210612476953,-3.4,-39.5,-102.74,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.126704785377921920210612476953,10.6,-39.5,-202.74,0
1.3.1396365023768806147396263860207662024085475137154,34.679,118.5,-279.0,0
1.3.1396365023768806147396263860207662024085475137154,102.679,154.5,-277.0,0
1.3.1396365023768806147396263860207662024085475137154,34.679,170.5,-261.0,0
1.3.1396365023768806147396263860207662024085475137154,-33.321,120.5,-211.0,0
1.3.1396365023768806147396263860207662024085475137154,-101.321,136.5,-211.0,0
1.3.1396365023768806147396263860207662024085475137154,0.679,138.5,-111.0,0
1.3.1396365023768806147396263860207662024085475137154,-117.321,120.5,-93.0,0
1.3.1396365023768806147396263860207662024085475137154,-115.321,138.5,-295.0,0
1.3.1396365023768806147396263860207662024085475137154,0.679,136.5,-209.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644,-82.8,44.0,-246.505,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644,69.2,44.0,-246.505,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644,-114.8,-90.0,-244.505,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644,19.2,12.0,-244.505,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644,-64.8,-106.0,-228.505,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644,53.2,-40.0,-228.505,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644,-14.8,-56.0,-210.505,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644,19.2,-6.0,-160.505,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644,-98.8,-90.0,-110.505,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644,-12.8,-24.0,-94.505,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644,-132.8,-6.0,-94.505,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644,-132.8,-74.0,-76.505,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644,1.2,-6.0,-60.505,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.252358625003143649770119512644,3.2,-24.0,-210.505,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.281967919138248195763602360723,27.8,-19.5,-232.84,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.281967919138248195763602360723,43.8,14.5,-232.84,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.281967919138248195763602360723,-74.2,30.5,-232.84,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.281967919138248195763602360723,-74.2,-19.5,-216.84,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.281967919138248195763602360723,-8.2,-19.5,-214.84,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.281967919138248195763602360723,-6.2,-17.5,-96.84,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.281967919138248195763602360723,-108.2,-19.5,-80.84,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.281967919138248195763602360723,9.8,-37.5,-250.84,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.230675342744370103160629638194,-91.8,48.1,-256.82,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.230675342744370103160629638194,-109.8,-17.9,-240.82,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.230675342744370103160629638194,-9.8,-17.9,-90.82,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.230675342744370103160629638194,8.2,-17.9,-190.82,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.153646219551578201092527860224,-118.9,-62.8,-201.455,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.153646219551578201092527860224,-86.9,37.2,-201.455,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.153646219551578201092527860224,15.1,19.2,-185.455,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.153646219551578201092527860224,83.1,37.2,-185.455,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.153646219551578201092527860224,-18.9,-30.8,-183.455,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.153646219551578201092527860224,15.1,-14.8,-101.455,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.153646219551578201092527860224,15.1,37.2,-99.455,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.153646219551578201092527860224,-2.9,-48.8,-67.455,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.153646219551578201092527860224,-120.9,-64.8,-65.455,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.153646219551578201092527860224,-18.9,-80.8,-235.455,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.153646219551578201092527860224,13.1,-46.8,-167.455,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.153646219551578201092527860224,15.1,19.2,-117.455,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.164790817284381538042494285101,78.293,-224.707,-265.8,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.164790817284381538042494285101,60.293,-106.707,-231.8,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.164790817284381538042494285101,-89.707,-138.707,-199.8,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.164790817284381538042494285101,-23.707,-172.707,-179.8,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.164790817284381538042494285101,-73.707,-154.707,-265.8,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.164790817284381538042494285101,-5.707,-172.707,-231.8,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.164790817284381538042494285101,10.293,-156.707,-179.8,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.991510467496831189331312523884,53.293,-217.707,-244.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.991510467496831189331312523884,121.293,-217.707,-244.0,0
1.3.6.1.4.1.14519.5.2.1.6279.6001.991510467496831189331312523884,139.293,-99.707,-244.0,0
